id,type,title,area_m2,rooms,floor,price_zl,price_per_m2,street,district,city,project,lat,lon,dist_km,dist_tram,tram_name,drive_tram_km,drive_tram_name,drive_rail_km,drive_rail_name,drive_ratusz_km,url
66613938,dom,Dom PARTEROWY - oferta wyczerpana - Info o nowym etapie w czerwcu 2026,88.41,3,,760020,8597,,Skórzewo,Skórzewo,Nowe domy w Skórzewie-zachodnia sypialnia Poznania,52.3903,16.79074,9.9,3.07,Junikowo,4.65,Cmentarna,6.84,Palędzie,11.9,https://www.otodom.pl/pl/oferta/dom-parterowy-oferta-wyczerpana-info-o-nowym-etapie-w-czerwcu-2026-ID4wwkm
67630535,dom,"4 pokoje wysoki standard, piękna okolica, duża działka, świetny dojazd",95,4,,769000,8095,,Trzcielin,Trzcielin,,52.32499,16.6891,19.0,11.84,Junikowo,18.11,Rondo Skubiszewskiego,6.63,Stęszew,24.01,https://www.otodom.pl/pl/oferta/4-pokoje-wysoki-standard-piekna-okolica-duza-dzialka-swietny-dojazd-ID4zLN5
68196288,dom,✅ Chomęcice / Zamknięte Osiedle / 5 pokoi✅,106.75,5,,769000,7204,,Konarzewo,Chomęcice,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/chomecice-zamkniete-osiedle-5-pokoi-ID4C8Y8
68195764,dom,✅Kamionki/ Nowa Inwestycja/4 sypialnie✅,96.4,5,,769000,7977,,Kamionki,Kamionki,,52.28594,16.98692,14.1,9.91,Starołęka PKM,11.85,Starołęka PKM,7.32,Gądki,23.55,https://www.otodom.pl/pl/oferta/kamionki-nowa-inwestycja-4-sypialnie-ID4C8PG
68183349,dom,Dom /gaz/fotowoltaika/5 pokoi,99,5,,769000,7768,,Gołuski,Gołuski,,52.36086,16.74484,13.9,6.6,Junikowo,8.69,Cmentarna,3.15,Palędzie,18.85,https://www.otodom.pl/pl/oferta/dom-gaz-fotowoltaika-5-pokoi-ID4C5Br
68146623,dom,✅Kamionki/ Nowa Inwestycja/4 sypialnie,96.4,5,,769000,7977,,Kamionki,Kamionki,,52.28594,16.98692,14.1,9.91,Starołęka PKM,11.85,Starołęka PKM,7.32,Gądki,23.55,https://www.otodom.pl/pl/oferta/kamionki-nowa-inwestycja-4-sypialnie-ID4BV35
68143821,dom,Dom /gaz/fotowoltaika/5 pokoi,99,5,,769000,7768,,Gołuski,Gołuski,,52.36086,16.74484,13.9,6.6,Junikowo,8.69,Cmentarna,3.15,Palędzie,18.85,https://www.otodom.pl/pl/oferta/dom-gaz-fotowoltaika-5-pokoi-ID4BWjT
68127991,dom,Rezerwacja Gotowy lipiec 2026r./ światłowód/ lokal prawy,104.77,4,,769000,7340,,Robakowo,Robakowo,,52.29688,17.07484,15.7,10.67,Franowo,14.27,Szwedzka,3.06,Gądki,18.57,https://www.otodom.pl/pl/oferta/rezerwacja-gotowy-lipiec-2026r-swiatlowod-lokal-prawy-ID4BRcz
68127895,dom,Gotowy wrzesień 2026r./ światłowód,103.32,4,,769000,7443,,Robakowo,Robakowo,,52.29688,17.07484,15.7,10.67,Franowo,14.27,Szwedzka,3.06,Gądki,18.57,https://www.otodom.pl/pl/oferta/gotowy-wrzesien-2026r-swiatlowod-ID4BRb1
66396664,dom,Nowy dom z dużą działką Dachowa / Robakowo,102.58,5,,769000,7497,Kręta,Dachowa,Dachowa,,52.30159,17.07171,15.1,10.11,Franowo,13.26,Szwedzka,3.07,Gądki,17.56,https://www.otodom.pl/pl/oferta/nowy-dom-z-duza-dzialka-dachowa-robakowo-ID4uANV
67913629,dom,II etap/5  pokoi dz. dla lokalu 423 m2,102.58,5,,769000,7497,,Dachowa,Dachowa,,52.30099,17.07859,15.5,10.4,Franowo,13.7,Szwedzka,3.52,Gądki,18.0,https://www.otodom.pl/pl/oferta/ii-etap-5-pokoi-dz-dla-lokalu-423-m2-ID4AXr7
67661963,dom,"Nowoczesny, energooszczędny dom w Kostrzynie",107,4,,769000,7187,"ul. Kostrzyn centrum, nowy dom, dom do sprzedaży",Kostrzyn,Kostrzyn,,52.39032,17.2157,19.2,14.61,Franowo,17.72,Mogileńska,12.33,Swarzędz,22.46,https://www.otodom.pl/pl/oferta/nowoczesny-energooszczedny-dom-w-kostrzynie-ID4zTXZ
68087433,dom,"Imponujący Bliźniak 120m2, 5 pokoi - Gotowy do Zamieszkania!",120.3,5,,770000,6401,Aksamitkowa 3,Dopiewo,Dopiewo,,52.35646,16.67792,18.3,11.06,Junikowo,14.18,Cmentarna,7.21,Palędzie,25.48,https://www.otodom.pl/pl/oferta/imponujacy-blizniak-120m2-5-pokoi-gotowy-do-zamieszkania-ID4BGEp
67829051,dom,Szeregowiec Czerwonak,101,5,,779000,7713,ul. łącznik,Czerwonak,Czerwonak,,52.46167,16.98391,6.8,2.75,Błażeja,7.33,Lechicka/Naramowicka,0.87,Czerwonak,9.44,https://www.otodom.pl/pl/oferta/szeregowiec-czerwonak-ID4ABqX
68135525,dom,Ostatnie domy w starej cenie!,102.26,6,,779000,7618,,Napachanie,Rokietnica,,52.4922,16.73335,16.5,12.85,Os. Sobieskiego,17.42,Ogrody,4.97,Rokietnica,21.93,https://www.otodom.pl/pl/oferta/ostatnie-domy-w-starej-cenie-ID4BTa5
68119530,dom,"II etap w sprzedaży, domy gotowe  Iii kwart.  2026",102.26,6,,779000,7618,,Napachanie,Rokietnica,,52.4922,16.73335,16.5,12.85,Os. Sobieskiego,17.42,Ogrody,4.97,Rokietnica,21.93,https://www.otodom.pl/pl/oferta/ii-etap-w-sprzedazy-domy-gotowe-iii-kwart-2026-ID4BP06
68088281,dom,Wyjątkowe domy w zabudowie bliźniaczej Napachanie,102.26,6,,779000,7618,Teatralna,Rokietnica,Napachanie,,52.49688,16.73531,16.7,12.86,Os. Sobieskiego,17.86,Ogrody,4.43,Rokietnica,22.37,https://www.otodom.pl/pl/oferta/wyjatkowe-domy-w-zabudowie-blizniaczej-napachanie-ID4BGS5
68044087,dom,"szybki termin odbioru, 6 pokoi.",102.26,6,,779000,7618,,Napachanie,Rokietnica,,52.4922,16.73335,16.5,12.85,Os. Sobieskiego,17.42,Ogrody,4.97,Rokietnica,21.93,https://www.otodom.pl/pl/oferta/szybki-termin-odbioru-6-pokoi-ID4Bwnh
67916078,dom,"Nowe  osiedle:  Rokietnica, Kiekrz, Napachanie",102.26,6,,779000,7618,,Napachanie,Napachanie,,52.4922,16.73335,16.5,12.85,Os. Sobieskiego,17.42,Ogrody,4.97,Rokietnica,21.93,https://www.otodom.pl/pl/oferta/nowe-osiedle-rokietnica-kiekrz-napachanie-ID4AY4C
67981069,dom,Dzień Pokazowy NA Budowie 30.05,102.26,6,,779000,7618,,Napachanie,Rokietnica,,52.4922,16.73335,16.5,12.85,Os. Sobieskiego,17.42,Ogrody,4.97,Rokietnica,21.93,https://www.otodom.pl/pl/oferta/dzien-pokazowy-na-budowie-30-05-ID4BeYR
